"","webtoon","rating"
"213","로그아웃",9.76
"214","성스러운 아이돌",9.97
"215","멸망X초이스",9.83
"216","안개무덤",9.95
"217","어차피 남편은!",9.86
"218","겟라이프",9.88
"219","모어 라이프",9.83
"220","루커피쳐",9.95
"221","셈하는 사이",9.97
"222","소녀180",9.95
"223","유리와 유리와 유리",9.96
"224","불릿 6미리",9.88
"225","미드나잇 체이서",9.66
"226","카루나",9.84
"227","밤하늘에 구름운",9.95
"228","보물과 괴물의 도시",9.95
"229","바른탕진 프로젝트",9.86
"230","헬프미",9.4
"231","평범한 낙원",9.61
"232","외모지상주의",9.46
"233","갓 오브 하이스쿨",9.65
"234","데드퀸",9.96
"235","재혼 황후",9.97
"236","1초",9.98
"237","개를 낳았다",9.93
"238","성경의 역사",7.07
"239","여성전용헬스장 진달래짐",8.93
"240","삼국지톡",9.93
"241","낙향문사전",9.94
"242","그들이 사귀는 세상",9.86
"243","더 게이머",8.56
"244","엽사:요괴사냥꾼",3.86
"245","세기말 풋사과 보습학원",9.97
"246","살人스타그램",9.6
"247","뫼신 사냥꾼",9.91
"248","걸어서 30분",9.98
"249","주님, 악마가 되게 해주세...",9.9
"250","히어로 킬러",9.91
"251","플레이어",9.92
"252","로판 빙의 만화",9.91
"253","환상의 용",9.91
"254","상남자",9.9
"255","난약",9.96
"256","복학생 정순이",9.96
"257","구남친이 내게 반했다",9.84
"258","고래별",9.98
"259","스포",9.91
"260","그 기사가 레이디로 사는 법",9.88
"261","아찔한 전남편",9.88
"262","금혼령-조선혼인금지령",9.96
"263","거래",9.55
"264","가슴털 로망스",9.92
"265","악몽일기",9.9
"266","태권보이",9.34
"267","A.I. 닥터",9.95
"268","감자마을",9.9
"269","사람의 조각",9.9
"270","찬란하지 않아도 괜찮아, ...",9.96
"271","닥터 프로스트 시즌 3~4",9.97
"272","피와 나비",9.95
"273","후덜덜덜 남극전자",9.94
"274","썸내일",9.88
"275","나쁜 쪽으로",9.34
"276","빨리감기",9.9
"277","방과후 선녀",9.96
"278","너의 미소가 함정",9.97
"279","도무지 그애는",9.95
"280","몽홀",9.92
"281","감히",9.9
"282","구독금지",9.91
"283","백년게임",9.78
"284","버그: 스티그마",7.17
"285","꽃 피우는 남자",9.96
"286","트럼프",9.97
"287","진짜 정말 맹세코 좋아해",9.92
"288","구주의 시간",9.91
"289","강림전기 개정기",9.78
"290","히트포인트",9.46
"291","매지컬 메디컬",9.84
"292","호랑이형님",9.97
"293","프리드로우",9.85
"294","모죠의 일지",9.97
"295","취사병 전설이 되다",9.83
"296","광장",9.97
"297","욕망일기",9.51
"298","노곤하개",9.98
"299","힙한남자",9.86
"300","민간인 통제구역",9.95
"301","청춘 블라썸",9.97
"302","토끼대왕",9.91
"303","아홉수 우리들",9.98
"304","윌유메리미",9.93
"305","나이트런",9.92
"306","좀비 파이트",9.94
"307","나를 바꿔줘",9.84
"308","어글리후드",9.98
"309","지옥급식",9.64
"310","반드시 해피엔딩",9.95
"311","갓핑크",9.96
"312","동트는 로맨스",9.98
"313","피라미드 게임",9.96
"314","중매쟁이 아가 황녀님",9.57
"315","두번째 생일",9.68
"316","2-3승강장",9.78
"317","공유몽",9.91
"318","왕년엔 용사님",9.94
"319","키스 식스 센스",9.73
"320","니나의 마법서랍",9.93
"321","단편.zip",9.61
"322","먹이",9.98
"323","남자주인공의 여자사람친구입...",9.92
"324","더 나우",9.84
"325","광해의 연인",9.95
"326","웰캄투실버라이프",9.98
"327","내게 필요한 NO맨스",9.97
"328","태백 : 튜토리얼 맨",9.92
"329","군주",8.5
"330","홍시는 날 좋아해!",9.97
"331","왕세자 입학도",9.98
"332","율리",9.98
"333","아가사",9.9
"334","저무는 해, 시린 눈",9.97
"335","꼬리 있는 연애",9.93
"336","동네몬스터",9.88
"337","압락사스",9.72
"338","팔려 온 신부",9.82
"339","좋은데 어떡해",9.96
"340","모두 너였다",9.93
"341","오늘부터 천생연분",9.91
"342","후아유!",9.98
"343","도사 가온",9.9
"344","손 잡아 볼래?",9.91
"345","안녕, 이바다씨",9.93
"346","아침을 지나 밤으로",9.94
"347","아테나 컴플렉스",9.88
"348","언플래시레슨",6
"349","친구의 비밀계정",9.9
"350","인간졸업",9.8
"351","누군가의 로섬",9.96
"352","함부로 대해줘",9.9
"353","어른의 계절",9.75
"354","독립일기",9.97
"355","싸움독학",9.8
"356","약한영웅",9.9
"357","이번 생도 잘 부탁해",9.98
"358","열렙전사",9.94
"359","입학용병",9.91
"360","맘마미안",9.96
"361","소녀재판",9.8
"362","테러대부활",9.91
"363","닥터앤닥터 육아일기",9.96
"364","곱게 키웠더니, 짐승",9.96
"365","천하제일인",9.8
"366","오로지 너를 이기고 싶어",9.96
"367","나만 보여!",9.4
"368","동생친구",9.96
"369","살아남은 로맨스",9.97
"370","내일",9.97
"371","행성인간",9.96
"372","마법스크롤 상인 지오",9.96
"373","합격시켜주세용",9.98
"374","구름이 피워낸 꽃",9.96
"375","별이삼샵",9.96
"376","다이스(DICE)",9.4
"377","AI가 세상을 지배한다면",9.93
"378","로어 올림푸스",9.9
"379","판사 이한영",9.84
"380","벚꽃이 흩날릴 무렵",9.76
"381","강남도깨비",9.74
"382","가비지타임",9.97
"383","사람은 고쳐 쓰는 게 아니...",9.88
"384","학교정벌",9.48
"385","푸른불꽃",9.6
"386","호수의 인어",9.85
"387","굿 리스너",9.93
"388","가짜인간",9.66
"389","라일락 200%",9.96
"390","평행도시",9.96
"391","아르세니아의 마법사",9.87
"392","결혼까지 망상했어!",9.95
"393","데빌샷",9.96
"394","오른눈이 보는 세계",9.96
"395","두근두근 연극부",8.47
"396","잉여특공대",9.78
"397","조선여우스캔들",9.89
"398","오늘 밤만 재워줘",9.79
"399","라커, 오프너",9.92
"400","소녀 해미",9.71
"401","위험한 신입사원",9.66
"402","마도",9.76
"403","데이즈",7.49
"404","죽여주는 탐정님",9.88
"405","신이 담긴 아이",9.91
"406","샤인 스타",9.92
"407","스트러글",9.19
"408","호시탐탐",9.75
